src_id	dst_id	relation_type	keyword	explanation
1	11	契機	農耕開始	狩猟採集から農耕社会への移行
1	17	同時代	集落の形成	縄文集落が大和政権の基盤に
1	18	文化	墓制の進化	縄文の土器文化から古墳文化へ
2	3	政策	市民による統治	ポリスの発展がアテネ民主政の基盤を作った
2	5	文化	市民社会と哲学	ポリスの発展が哲学の隆盛を生む
2	9	文化	市民社会と学問	ポリスの発展が学問の基礎を作る
3	4	契機	ペルシアの脅威	民主政アテネがペルシア戦争で中心的役割
3	7	因果	アテネとスパルタの対立	民主政アテネと寡頭政スパルタの対立
4	3	因果	勝利による自信	ペルシア戦争の勝利が民主政の全盛期をもたらす
4	12	対立	ギリシャvsペルシア	ペルシア戦争と同時代にカルタゴの脅威
5	8	同時代	師弟関係	ソクラテスの弟子がプラトン
5	45	文化	哲学の継承	ソクラテスの思想がスコラ哲学に影響
6	14	文化	法の支配	ローマ法がローマ帝国の統治を支える
6	36	文化	法と制度	ローマ法の伝統が封建制度に影響
6	51	文化	法の伝統	ローマ法の伝統がマグナ・カルタに影響
7	2	因果	ポリス間の戦争	ペロポネソス戦争がポリスの衰退を招く
7	10	契機	ギリシャの弱体化	ペロポネソス戦争後の混乱期にマケドニア台頭
8	2	文化	理想国家論	プラトンがポリス論を展開
8	9	同時代	師弟関係	プラトンの弟子がアリストテレス
8	45	文化	プラトン哲学の継承	プラトンの思想がスコラ哲学の基礎
9	10	同時代	師と王	アリストテレスがアレクサンドロスの家庭教師
9	45	文化	アリストテレス哲学の継承	アリストテレスがスコラ哲学の中心
10	4	対立	ギリシャ統一	アレクサンドロスがペルシアを征服
10	9	同時代	師弟関係	アリストテレスがアレクサンドロスの教師
10	14	対立	ヘレニズムvsローマ	アレクサンドロス後継国とローマの対立
11	17	因果	農耕による統一	稲作の普及が政治統合を促進
11	18	文化	墳墓の発展	弥生の墓制が古墳へ進化
11	23	同時代	大陸文化流入	弥生の技術が遣隋使の基礎
12	13	同時代	共和政末期	ポエニ戦争とカエサルの時代が近い
12	14	契機	カルタゴ打倒	ポエニ戦争の勝利でローマが地中海制覇
13	12	対立	ローマの拡大	カエサルが軍事指揮官としてガリア征服
13	14	因果	共和政の終焉	カエサルの独裁が帝政への道を開く
14	6	政策	帝国の統治	ローマ帝国が法体系を整備
14	15	政策	宗教弾圧から保護へ	ローマ帝国がキリスト教を迫害後に公認
14	19	対立	帝国vs部族	ローマ帝国とゲルマン諸部族の対立
14	20	契機	東西ローマ分裂	ローマ帝国分裂後にビザンツ帝国が東を継承
14	21	契機	西ローマ滅亡	ローマ帝国滅亡後にフランク王国が台頭
14	36	契機	中央権力の崩壊	ローマ帝国滅亡が封建制度を生む
15	16	契機	国教化	キリスト教の拡大がコンスタンティヌスに影響
15	19	同時代	混乱期の希望	キリスト教がゲルマン人移動期に拡大
15	21	文化	キリスト教の継承	キリスト教がフランク王国に受け継がれる
15	39	契機	教会の権力拡大	キリスト教が中世ヨーロッパの中心勢力
15	40	契機	教義の対立	キリスト教の拡大が東西教会分裂の原因
16	14	政策	キリスト教公認	コンスタンティヌス帝がキリスト教を国教化
16	15	政策	宗教の制度化	コンスタンティヌス帝がキリスト教を組織化
16	39	因果	教会の制度化	コンスタンティヌスの政策が教皇権の基礎
17	18	政策	権威の象徴	古墳建造による権力誇示
17	22	因果	中央集権化	大和政権が聖徳太子の基盤
17	23	外交	国際関係構築	大和政権が遣隋使派遣
17	27	契機	改革の土台	大和政権の限界が大化の改新を誘発
18	22	文化	仏教導入	古墳文化から仏教文化への転換
18	27	契機	改革の契機	古墳時代の権力構造が改革を促す
18	32	同時代	権力構造	古墳時代と奈良時代の連続性
19	14	因果	帝国の衰退	ゲルマン人の大移動がローマ帝国を滅ぼす
19	21	因果	ゲルマン諸王国	ゲルマン人がフランク王国を建国
19	36	因果	封建制の成立	ゲルマン人社会が封建制度の基盤
20	26	対立	東方vs西方	ビザンツ帝国とイスラム帝国の対立
20	40	因果	東西対立	ビザンツ帝国が東方正教会の中心
20	50	対立	ビザンツvsモンゴル	ビザンツ帝国がモンゴル帝国に圧迫される
20	58	文化	古典文化の保存	ビザンツ帝国が古典文化をルネサンスに伝える
20	68	契機	東方貿易の知識	ビザンツ帝国が大航海時代の知識を提供
21	34	政策	帝国の再興	フランク王国がカール大帝で最盛期
21	63	契機	フランス王国の基礎	フランク王国がフランス王国の起源
22	23	外交	小野妹子派遣	遣隋使で大陸文化導入
22	24	政策	能力主義導入	冠位十二階で官僚制度確立
22	25	政策	政治理念確立	憲法十七条で中央集権思想
22	27	契機	中央集権の源流	聖徳太子の思想が大化の改新に
22	32	文化	仏教振興の基盤	奈良時代の仏教文化の礎
23	27	契機	大陸制度導入	隋の制度が大化の改新に影響
23	28	外交	外交関係悪化	遣隋使停止が白村江へ
23	30	因果	律令制の学習	隋の律令を学び大宝律令へ
23	32	文化	仏教文化導入	奈良時代の文化基盤
24	25	同時代	制度整備	冠位と憲法で政治体制構築
24	27	契機	官僚制の確立	冠位制度が大化の改新の基礎
24	30	因果	律令制への道	冠位制度が大宝律令に発展
25	27	契機	中央集権思想	憲法の理念が大化の改新に
25	30	因果	法治国家への道	憲法十七条が律令制の基礎
25	32	文化	政治理念	奈良時代の政治思想の源流
26	33	対立	イスラムvsキリスト	イスラム支配下のスペインをレコンキスタで奪還
26	44	契機	イスラムの脅威	イスラム帝国拡大が十字軍の理由
26	68	契機	東方への憧れ	イスラム帝国の繁栄が大航海時代の動機
27	28	契機	外敵への危機感	改革が軍事強化を促進
27	29	因果	権力闘争激化	改革の混乱が壬申の乱へ
27	30	因果	律令制確立	大化の改新が大宝律令に結実
27	31	政策	都城建設	中央集権化で平城京建設
27	32	因果	奈良時代の基礎	改革が奈良時代を準備
28	29	契機	防衛体制強化	敗戦が国内権力闘争を誘発
28	30	契機	律令制確立の急務	外敵脅威が制度整備を促進
28	31	契機	防衛都市建設	白村江敗戦が平城京建設を促進
29	30	因果	律令制の確立	内乱終結後に大宝律令制定
29	31	因果	新都建設	天武天皇が平城京建設計画
29	32	因果	奈良時代の始まり	壬申の乱が奈良時代を準備
30	31	政策	律令国家の都	律令制に基づく平城京建設
30	32	因果	奈良時代の基盤	大宝律令が奈良時代を確立
30	35	同時代	律令制の継続	平安京でも律令制維持
30	38	契機	制度の限界	律令制の形骸化が摂関政治へ
31	32	因果	奈良時代の中心	平城京が奈良時代の都
31	35	契機	遷都	平城京から平安京へ
31	38	同時代	都市構造	都城制が摂関政治の舞台
32	35	契機	政治刷新	奈良の仏教政治から平安京へ
32	38	因果	貴族政治の基礎	奈良時代が摂関政治を準備
32	43	同時代	政治構造	奈良の律令制が院政の基盤
33	44	同時代	キリスト教世界の防衛	レコンキスタと十字軍は同じ聖戦
33	68	契機	海洋進出の準備	レコンキスタ完了後にスペインが大航海時代へ
33	82	同時代	カトリックの拡大	レコンキスタとイエズス会の布教は同じ精神
34	21	政策	帝国統一	カール大帝がフランク王国を拡大
34	36	政策	封建制の確立	カール大帝の分裂後に封建制度が発展
34	39	政策	教皇との協力	カール大帝が教皇から戴冠
34	77	文化	中央集権の萌芽	カール大帝の統治が絶対王政の先駆
35	38	因果	摂関政治の舞台	平安京で藤原氏が台頭
35	43	同時代	院政の開始	平安京で院政が展開
35	46	同時代	武士の台頭	平安京で平清盛が権力掌握
36	37	政策	農業経済	封建制度が荘園制を生む
36	63	契機	封建領主の対立	封建制度が英仏の領土争いを生む
37	64	契機	農村の崩壊	荘園制下の農村がペストで大打撃
37	77	契機	中央集権化の必要	荘園制の崩壊が中央集権を促進
38	43	契機	天皇権威の回復	摂関政治への反発が院政を生む
38	46	対立	貴族vs武士	摂関政治の弱体化で平清盛台頭
38	47	契機	武家政権誕生	摂関政治の限界が鎌倉幕府へ
39	42	対立	教皇vs皇帝	教皇権拡大と皇帝権の対立がカノッサの屈辱
39	44	契機	聖地奪還	教皇権の拡大が十字軍を引き起こす
39	66	契機	教皇権の対立	教皇権拡大が教会分裂を引き起こす
39	77	対立	教皇権vs王権	教皇権との対立が王権強化を促す
39	80	契機	教会腐敗への反発	教皇権の腐敗が宗教改革を生む
40	39	因果	教会の分裂	東西教会分裂が教皇権の限界を示す
41	51	契機	王権の制限	ノルマン征服後の王権強化への反発
41	52	因果	ノルマン朝の専制	ノルマン征服後の王権強化が人権文書を生む
41	63	契機	イングランドの成立	ノルマン征服が百年戦争の遠因
42	39	因果	教皇権の頂点	カノッサの屈辱が教皇権の絶頂期を示す
43	46	因果	武士の登用	院政が平清盛を重用
43	47	契機	武家政権への道	院政の混乱が源頼朝を生む
43	57	同時代	皇権回復の試み	院政と後醍醐天皇の連続性
44	20	契機	ビザンツの救援要請	ビザンツ帝国の要請で十字軍開始
44	26	対立	十字軍vsイスラム	十字軍がイスラム帝国と戦う
44	39	因果	教皇の権威失墜	十字軍の失敗が教皇権の衰退を招く
44	58	文化	東方文化の流入	十字軍が東方文化をもたらしルネサンス準備
44	67	同時代	宗教戦争の時代	十字軍とジャンヌ・ダルクは宗教的動機
44	82	文化	布教の精神	十字軍の精神がイエズス会に継承
45	54	文化	神学の集大成	スコラ哲学がトマス・アクィナスで完成
45	80	契機	スコラ哲学への批判	スコラ哲学の形式主義が宗教改革の要因
46	38	対立	貴族政治との対立	武士の台頭が摂関政治を終焉
46	43	同時代	院政との癒着	平清盛が院政を利用
46	47	対立	源平合戦	平氏vs源氏の対立
46	48	契機	武家政権の先駆	平清盛の失敗が鎌倉幕府の教訓
47	46	対立	源平合戦の勝者	平清盛を倒して政権樹立
47	48	因果	鎌倉幕府樹立	源頼朝が鎌倉幕府を開く
47	49	因果	執権政治の基盤	源氏将軍断絶で執権政治へ
47	53	契機	朝廷vs幕府	鎌倉幕府が承久の乱で勝利
47	55	政策	武家法の制定	御成敗式目の基礎を築く
48	49	因果	執権政治へ移行	将軍の権威失墜で執権が実権
48	53	因果	朝廷との対立	承久の乱で幕府が勝利
48	55	政策	御成敗式目制定	武家法の整備
48	56	因果	元寇への対応	幕府の防衛体制
48	57	対立	倒幕運動	後醍醐天皇が鎌倉幕府を倒す
49	53	因果	幕府権力確立	承久の乱で執権政治が確立
49	55	政策	武家法整備	執権北条氏が御成敗式目制定
49	56	因果	防衛体制	元寇で執権政治が試される
50	20	因果	ビザンツ衰退	モンゴル帝国の圧力でビザンツ弱体化
50	26	対立	東方の脅威	モンゴル帝国がイスラム帝国を圧迫
50	64	契機	疫病の媒介	モンゴル帝国がペストをヨーロッパに運ぶ
50	68	契機	陸路の遮断	モンゴル帝国衰退後に海路開拓が必要に
50	91	同時代	東西の大帝国	モンゴル帝国と三十年戦争は時代的に近い
51	41	因果	王権への制限	ノルマン征服後の強権への反発がマグナ・カルタ
51	63	契機	王権と貴族の対立	マグナ・カルタが百年戦争の背景
51	77	対立	貴族vs王権	マグナ・カルタの精神と絶対王政は対立
52	157	契機	人権思想の源流	マグナカルタが近代民主化運動の基礎に
52	209	同時代	英国の主権	マグナカルタからBrexitまでの主権意識
53	49	因果	執権政治確立	乱の後に北条氏が権力掌握
53	56	契機	幕府権力強化	承久の乱勝利で幕府が安定
53	57	契機	皇権回復の野望	承久の乱の失敗が後醍醐天皇の動機
53	60	契機	倒幕への教訓	承久の失敗が建武の新政へ
54	45	文化	哲学と神学の統合	トマス・アクィナスがスコラ哲学を体系化
54	58	文化	神学から人文学へ	トマス・アクィナスの理性論がルネサンスに影響
55	53	同時代	武家法の確立	御成敗式目が幕府の正統性を支える
55	62	同時代	武家法の継承	室町幕府も御成敗式目を踏襲
55	89	同時代	武家法の完成	江戸幕府の法制の基礎
56	57	契機	幕府の弱体化	元寇対応の失敗が倒幕運動を誘発
56	60	契機	政治変革の機運	元寇後の混乱が建武の新政へ
56	73	同時代	武士の自立	元寇経験が戦国武士の基礎
57	48	対立	鎌倉幕府打倒	後醍醐天皇が倒幕成功
57	59	対立	武士との対立	足利尊氏が後醍醐天皇に反旗
57	60	因果	建武の新政	後醍醐天皇が親政を開始
57	61	因果	南北朝分裂	後醍醐天皇が南朝を樹立
58	70	同時代	万能人	ルネサンスでレオナルドが活躍
58	74	同時代	芸術の巨匠	ルネサンスでミケランジェロが活躍
