id	name	era	year	tags	description
1	縄文時代	古代	-14000	["先史", "文化"]	紀元前14000年頃から始まった日本列島の時代区分。土器の使用と定住生活が特徴で、狩猟採集を中心とした社会が形成された。
2	ポリス	古代	-800	["政治", "都市国家"]	紀元前8世紀頃に成立した独立自治体。市民による直接参加の仕組みが発展し、後の民主制の基礎となった。
3	アテネ民主政	古代	-508	["政治", "民主主義"]	紀元前508年に成立した市民による統治形態。評議会や民会での議論と投票により、重要事項を決定した。
4	ペルシア戦争	古代	-490	["戦争", "ギリシャ"]	紀元前490年頃に勃発した東西の大規模紛争。マラトンやサラミスでの勝利により、独立を守り抜いた。
5	ソクラテス	古代	-470	["人物", "哲学"]	紀元前470年頃生まれた対話による探究者。無知の自覚と問答法を重視し、西洋思想の礎を築いた。
6	ローマ法	古代	-450	["法律", "制度"]	紀元前450年頃に成文化された規範体系。十二表法から始まり、後の法制度に大きな影響を与えた。
7	ペロポネソス戦争	古代	-431	["戦争", "ギリシャ", "内戦"]	紀元前431年に始まった長期にわたる抗争。覇権をめぐる対立が激化し、両勢力が疲弊した。
8	プラトン	古代	-427	["人物", "哲学"]	紀元前427年頃生まれたイデア論の提唱者。師の教えを継承し、理想国家論などを展開した。
9	アリストテレス	古代	-384	["人物", "哲学"]	紀元前384年生まれの万学の祖。論理学や倫理学など幅広い分野で体系的な知識を構築した。
10	アレクサンドロス大王	古代	-356	["人物", "軍事", "帝国"]	紀元前356年生まれの征服王。東方への遠征により広大な領土を支配し、文化融合を促進した。
11	弥生時代	古代	-300	["先史", "農業"]	紀元前300年頃から始まった稲作を基盤とする時代。金属器の使用と階層社会の形成が進んだ。
12	ポエニ戦争	古代	-264	["戦争", "ローマ", "カルタゴ"]	紀元前264年から断続的に続いた地中海の覇権争い。ハンニバルの遠征など激しい攻防が展開された。
13	カエサル	古代	-100	["人物", "軍事", "政治"]	紀元前100年生まれの軍人・執政官。ガリア征服や内乱での勝利により、独裁的な権力を握った。
14	ローマ帝国	古代	-27	["帝国", "政治"]	紀元前27年に成立した専制支配体制。地中海全域を統治し、長期にわたる繁栄を実現した。
15	キリスト教の成立	古代	30	["宗教", "思想"]	西暦30年頃にイエスの教えを基に誕生した宗教。愛と救済を説き、後に世界的な広がりを見せた。
16	コンスタンティヌス帝	古代	272	["人物", "宗教", "政治"]	272年生まれの統治者。313年にミラノ勅令を発し、信仰の自由を認めた。
17	大和政権	古代	300	["政治", "統一"]	300年頃に成立した日本の支配組織。豪族の連合により、畿内を中心に勢力を拡大した。
18	古墳	古代	300	["文化", "権力"]	300年頃から造営された巨大な墳墓。権力者の威信を示すもので、前方後円墳などが築かれた。
19	ゲルマン人の大移動	古代	375	["民族移動", "混乱"]	375年頃から始まった諸部族の移住。西方への大規模な人口流動により、既存の秩序が崩壊した。
20	ビザンツ帝国	中世	395	["帝国", "東方"]	395年に成立した東側の継承国家。千年以上にわたり存続し、独自の文化を発展させた。
